"","control_rep2","exp_rep1","control_rep1","exp_rep2","control_rep3","exp_rep3"
"ENSG00000278200.1",3.01250516616777,2.98957538094176,3.03551587549285,3.01698580089962,3.04562413547815,3.04572776120638
"ENSG00000184009.13",18.9960154739124,19.0545855078255,18.9872904878063,18.9752125467179,19.0451332865246,19.2042770145498
"ENSG00000229848.1",4.23906391413205,4.17585900130644,4.18950946334329,4.16960137694153,4.18615465978294,4.13981413651243
"ENSG00000289182.1",4.24871414118654,4.27412047411072,4.27782641695304,4.24736346920503,4.23003330087082,4.25559435954622
"ENSG00000186765.12",4.94320601112982,4.90766273475455,4.92725831712066,5.00154395884166,4.95532482641092,4.92541120778288
"ENSG00000185504.17",11.5048340559313,11.2907080196975,11.3801633714313,11.2984922273336,11.5021239580389,11.5807688196724
"ENSG00000182446.15",13.3218845184523,13.2841052242117,13.2547001742379,13.2775977129936,13.312030384485,13.3272337410685
"ENSG00000182612.11",6.38051935282528,6.26531494733763,6.27057234958704,6.29027693458723,6.37512156586815,6.35106871178535
"ENSG00000204237.5",9.5959030051889,9.47189978577742,9.51836268764711,9.46617788874356,9.50953642377668,9.73025462239064
"ENSG00000185298.13",11.4413846411439,11.314434973438,11.3725735435737,11.3733374332834,11.4323030830423,11.4833839302607
"ENSG00000214087.9",11.3047796208639,11.296852755114,11.2300922247565,11.3530814763076,11.3146406377893,11.4554929094419
"ENSG00000185359.14",12.1733339294165,12.0563739085041,12.0916206920838,12.0728060488486,12.1466883071893,12.2053056391819
"ENSG00000262049.2",4.05309209998272,4.02225106853938,3.96025985024488,3.93553250431031,3.99810665918418,4.013758401199
"ENSG00000262814.8",10.9038858629565,10.7028102521344,10.741850377448,10.6076968908865,10.8722778495368,11.0722056080318
"ENSG00000183048.12",10.3047633430785,10.1893900093828,10.1728465640529,10.1552885475566,10.3103115983748,10.5414633583365
"ENSG00000215644.10",5.46582213806845,5.41188277694813,5.41764221038527,5.49229059274695,5.43790798196444,5.5473413785302
"ENSG00000225663.8",11.8895118301538,11.7813410887826,11.7841843339994,11.7533762931098,11.8927038987929,12.1914869432263
"ENSG00000185624.16",15.9095540421595,16.0097045467652,15.8640555781669,15.9630767795749,15.9311931919542,16.0353279571751
"ENSG00000141522.12",13.6316532983462,13.4639936863926,13.5247822916215,13.3580389358526,13.6420848811324,13.7861816522435
"ENSG00000263731.1",6.13877780459864,6.174914653846,6.27077947244136,6.19672235675126,6.21037727814688,6.41295331096629
"ENSG00000183684.8",12.4207583550637,12.3073297699637,12.3217212141741,12.2095357797764,12.4214665282126,12.5626463832507
"ENSG00000141552.18",11.69604430969,11.6524340136049,11.6812553411048,11.6789088163086,11.7394690908244,11.9833945448933
"ENSG00000185813.11",12.3480259188647,12.2997281120605,12.2034030774892,12.2542528494461,12.3140913820501,12.4662294345221
"ENSG00000187531.14",9.51568233721205,9.40815580205069,9.4783662817993,9.52735004279399,9.51161018387489,9.55679851526753
"ENSG00000197063.11",11.0212464429193,11.1203866799983,11.0240552866822,11.1220667548121,11.0619373125438,11.0701107543187
"ENSG00000265688.2",7.71503356313554,7.63573157517271,7.6219671824859,7.59074091046724,7.73075635059029,7.87574188518369
